model,step,HellaSwag,WinoGrande,ARC-Easy,ARC-Challenge,PIQA,OpenBookQA,CommonsenseQA,SciQ,LAMBADA,shared_9_average
baseline,500,0.2793,0.5162,0.3169,0.2108,0.5892,0.252,0.1949,0.533,0.1261,0.3353777777777778
baseline,1000,0.3194,0.498,0.3519,0.2227,0.6094,0.278,0.1982,0.573,0.1683,0.3576555555555555
baseline,1500,0.3446,0.5091,0.3691,0.2287,0.6425,0.28,0.1982,0.602,0.2133,0.37638888888888883
baseline,2000,0.3721,0.5193,0.3956,0.2398,0.6616,0.31,0.1982,0.64,0.2544,0.39899999999999997
baseline,2500,0.3845,0.5209,0.3977,0.2483,0.6806,0.296,0.2007,0.653,0.2606,0.40469999999999995
baseline,3000,0.3885,0.5075,0.3969,0.2457,0.6795,0.302,0.1982,0.66,0.2659,0.40491111111111106
baseline,3052,0.3901,0.5043,0.3994,0.2491,0.6801,0.304,0.1982,0.663,0.2666,0.40608888888888883
ngram,500,0.2773,0.4996,0.3291,0.2167,0.5827,0.252,0.1974,0.589,0.1972,0.349
ngram,1000,0.3059,0.517,0.3628,0.2287,0.6219,0.28,0.1982,0.598,0.2655,0.3753333333333333
ngram,1500,0.3265,0.5225,0.3758,0.2193,0.636,0.27,0.1974,0.613,0.2763,0.3818666666666667
ngram,2000,0.343,0.4949,0.3809,0.2227,0.6594,0.276,0.1982,0.625,0.3138,0.39043333333333335
ngram,2500,0.3497,0.487,0.3838,0.2176,0.6561,0.284,0.1998,0.623,0.3284,0.39215555555555554
ngram,3000,0.3537,0.4901,0.383,0.2287,0.6469,0.286,0.2007,0.626,0.333,0.3942333333333333
ngram,3053,0.3522,0.4925,0.3847,0.2287,0.6507,0.282,0.199,0.633,0.3357,0.3953888888888889
